 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2042  a =   7478.135  e =  0.000000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.05E-01   2.35E-03   2.52E-06   5.20E-10   1.25E-11   3.93E-12
   Max.:          2.93E+02   6.36E+00   8.94E-03   5.31E-07   2.57E-08   6.97E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
   -58     -57    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
   -57     -56    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
   -56     -55    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
   -55     -54    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
   -54     -53    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
   -53     -52    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
   -52     -51    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
   -51     -50    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
   -50     -49    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
   -49     -48    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
   -48     -47    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
   -47     -46    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
   -46     -45    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
   -45     -44    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
   -44     -43    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
   -43     -42    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
   -42     -41    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
   -41     -40    2.01E+02   4.51E+00   5.95E-03   2.96E-07   1.73E-08   4.49E-09
   -40     -39    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
   -39     -38    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
   -38     -37    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
   -37     -36    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
   -36     -35    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
   -35     -34    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
   -34     -33    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
   -33     -32    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
   -32     -31    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
   -31     -30    2.93E+02   6.36E+00   8.94E-03   4.00E-07   2.57E-08   6.97E-09
   -30     -29    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
   -29     -28    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
   -28     -27    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
   -27     -26    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
   -26     -25    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
   -25     -24    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
   -24     -23    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
   -23     -22    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
   -22     -21    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
   -21     -20    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
   -20     -19    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
   -19     -18    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
   -18     -17    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
   -17     -16    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
   -16     -15    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
   -15     -14    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
   -14     -13    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
   -13     -12    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
   -12     -11    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
   -11     -10    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
   -10      -9    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
    -9      -8    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
    -8      -7    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
    -7      -6    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
    -6      -5    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
    -5      -4    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
    -4      -3    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
    -3      -2    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
    -2      -1    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
    -1       0    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
     0       1    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
