 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2042  a =   7478.135  e =  0.000000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.69E-06   2.81E-12   2.81E-12   1.80E-09   2.58E-12   1.29E-12
   Max.:          4.72E+03   1.12E+02   1.30E-01   1.10E-05   4.52E-07   9.85E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
  14.1    14.2    1.09E+03   2.75E+01   1.30E-01   5.70E-06   3.39E-07   9.85E-08
  14.2    14.3    1.09E+03   2.75E+01   1.30E-01   5.70E-06   3.39E-07   9.85E-08
  14.3    14.4    1.09E+03   2.75E+01   1.30E-01   5.70E-06   3.39E-07   9.85E-08
  14.4    14.5    1.09E+03   2.75E+01   1.30E-01   5.70E-06   3.39E-07   9.85E-08
  14.5    14.6    1.09E+03   2.75E+01   1.30E-01   5.70E-06   3.39E-07   9.85E-08
  14.6    14.7    1.09E+03   2.75E+01   1.30E-01   5.70E-06   3.39E-07   9.85E-08
  14.7    14.8    1.09E+03   2.75E+01   1.30E-01   5.70E-06   3.39E-07   9.85E-08
  14.8    14.9    1.09E+03   2.75E+01   1.30E-01   5.70E-06   3.39E-07   9.85E-08
  14.9    15.0    1.09E+03   2.75E+01   1.30E-01   5.70E-06   3.39E-07   9.85E-08
  15.0    15.1    7.57E+00   4.82E-02   8.84E-05   8.12E-08   3.83E-10   5.98E-11
  15.1    15.2    7.57E+00   4.82E-02   8.84E-05   8.12E-08   3.83E-10   5.98E-11
  15.2    15.3    7.57E+00   4.82E-02   8.84E-05   8.12E-08   3.83E-10   5.98E-11
  15.3    15.4    7.57E+00   4.82E-02   8.84E-05   8.12E-08   3.83E-10   5.98E-11
  15.4    15.5    7.57E+00   4.82E-02   8.84E-05   8.12E-08   3.83E-10   5.98E-11
  15.5    15.6    7.57E+00   4.82E-02   8.84E-05   8.12E-08   3.83E-10   5.98E-11
  15.6    15.7    7.57E+00   4.82E-02   8.84E-05   8.12E-08   3.83E-10   5.98E-11
  15.7    15.8    7.57E+00   4.82E-02   8.84E-05   8.12E-08   3.83E-10   5.98E-11
  15.8    15.9    7.57E+00   4.82E-02   8.84E-05   8.12E-08   3.83E-10   5.98E-11
  15.9    16.0    7.57E+00   4.82E-02   8.84E-05   8.12E-08   3.83E-10   5.98E-11
  16.0    16.1    2.13E+00   5.40E-04   1.21E-06   1.80E-09   2.58E-12   1.29E-12
  16.1    16.2    2.13E+00   5.40E-04   1.21E-06   1.80E-09   2.58E-12   1.29E-12
  16.2    16.3    2.13E+00   5.40E-04   1.21E-06   1.80E-09   2.58E-12   1.29E-12
  16.3    16.4    2.13E+00   5.40E-04   1.21E-06   1.80E-09   2.58E-12   1.29E-12
  16.4    16.5    2.13E+00   5.40E-04   1.21E-06   1.80E-09   2.58E-12   1.29E-12
  16.5    16.6    2.13E+00   5.40E-04   1.21E-06   1.80E-09   2.58E-12   1.29E-12
  16.6    16.7    2.13E+00   5.40E-04   1.21E-06   1.80E-09   2.58E-12   1.29E-12
