 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2042  Perigee Altitude =    400.000  Apogee Altitude =   400.000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          6.45E-02   5.27E-04   2.76E-06   2.80E-10   2.02E-11   9.23E-12
   Max.:          2.05E+01   9.01E-02   3.96E-04   4.40E-08   4.77E-09   2.23E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
   -49     -48    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
   -48     -47    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
   -47     -46    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
   -46     -45    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
   -45     -44    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
   -44     -43    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
   -43     -42    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
   -42     -41    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
   -41     -40    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
   -40     -39    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
   -39     -38    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
   -38     -37    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
   -37     -36    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
   -36     -35    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
   -35     -34    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
   -34     -33    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
   -33     -32    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
   -32     -31    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
   -31     -30    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
   -30     -29    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
   -29     -28    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
   -28     -27    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
   -27     -26    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
   -26     -25    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
   -25     -24    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
   -24     -23    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
   -23     -22    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
   -22     -21    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
   -21     -20    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
   -20     -19    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
   -19     -18    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
   -18     -17    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
   -17     -16    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
   -16     -15    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
   -15     -14    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
   -14     -13    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
   -13     -12    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
   -12     -11    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
   -11     -10    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
   -10      -9    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
    -9      -8    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
    -8      -7    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
    -7      -6    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
    -6      -5    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
    -5      -4    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
    -4      -3    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
    -3      -2    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
    -2      -1    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
    -1       0    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
     0       1    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
     1       2    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
     2       3    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
     3       4    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
     4       5    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
     5       6    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
     6       7    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
     7       8    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
     8       9    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
     9      10    1.24E+00   3.41E-03   2.76E-06   1.38E-09   2.75E-10   4.30E-11
    10      11    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
    11      12    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
    12      13    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
    13      14    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
    14      15    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
    15      16    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
    16      17    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
    17      18    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
    18      19    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
    19      20    1.31E+01   5.25E-02   2.68E-04   3.39E-08   4.77E-09   2.23E-09
    20      21    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
    21      22    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
    22      23    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
    23      24    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
    24      25    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
    25      26    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
    26      27    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
    27      28    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
    28      29    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
    29      30    2.05E+01   8.93E-02   2.72E-04   3.87E-08   4.69E-09   2.17E-09
    30      31    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
    31      32    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
    32      33    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
    33      34    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
    34      35    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
    35      36    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
    36      37    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
    37      38    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
    38      39    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
    39      40    2.05E+01   8.42E-02   2.48E-04   4.02E-08   4.52E-09   1.99E-09
    40      41    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
    41      42    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
    42      43    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
    43      44    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
    44      45    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
    45      46    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
    46      47    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
    47      48    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
    48      49    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
    49      50    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
    50      51    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
    51      52    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
    52      53    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
    53      54    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
    54      55    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
    55      56    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
    56      57    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
    57      58    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
    58      59    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
    59      60    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
    60      61    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
    61      62    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
    62      63    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
    63      64    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
    64      65    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
    65      66    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
    66      67    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
    67      68    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
    68      69    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
    69      70    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
    70      71    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
    71      72    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
    72      73    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
    73      74    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
    74      75    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
    75      76    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
    76      77    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
    77      78    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
    78      79    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
    79      80    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
    80      81    3.13E+00   2.06E-02   1.21E-04   1.54E-08   8.35E-10   3.93E-10
    81      82    3.13E+00   2.06E-02   1.21E-04   1.54E-08   8.35E-10   3.93E-10
    82      83    3.13E+00   2.06E-02   1.21E-04   1.54E-08   8.35E-10   3.93E-10
    83      84    3.13E+00   2.06E-02   1.21E-04   1.54E-08   8.35E-10   3.93E-10
